"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"227","Who listens to Ed Sheeran...in 28/04/2024/?......( RbRb)💙","@cirodeliso7439","https://yt3.ggpht.com/ytc/AIdro_nS3oAiWrpoG4F7d9Byc8VlrGgjhk7CeQjPurz3AHg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@cirodeliso7439","UCtH1o0ntfR7p-a5B8tOinVg","0","11","2024-04-28T04:26:17Z","2024-04-28T04:26:17Z","Ugz-V1lClzUnwPu0_J14AaABAg",NA,"JGwWNGJdvx8"
"228","I'm from earth and you","@ShoftHeart762","https://yt3.ggpht.com/jrm65Fw4zdvIQCbjrY2UAoq4JWa_BwhcgtnOe_IOOYRkznYpvaNCRYkEWx5tcAsF1uxFP1AHA0g=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@ShoftHeart762","UCkREjMoRULQURY1lUy3OT8w","0","2","2024-04-28T04:24:29Z","2024-04-28T04:24:29Z","UgwuevC7DO21RYu_O-d4AaABAg",NA,"JGwWNGJdvx8"
"229","Who here in 28/04/2024/??💙( RbRb)","@angelodellaverita3749","https://yt3.ggpht.com/ytc/AIdro_n6ZBBa_3wssvZ-3uYejR-pYif7bZ3F-sJr33JSyktwwYCCLRkkFCHIjZW7Up1yAzVU4w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@angelodellaverita3749","UC56w8fsWHiG5ySyaXQMNuLQ","16","67","2024-04-28T04:23:48Z","2024-04-28T04:49:41Z","UgxvNXJsviYuPUI1KYJ4AaABAg",NA,"JGwWNGJdvx8"
"230","There had to have been some serious strategy to the creation of this song! I mean, it could fit a wide range of settings, whether it is relaxation, dance, competition, choirs, shopping, and it still somehow fits! Is it perhaps the pumped but soft and steady melody? Perhaps people could take some very important notes from this song to make the next omni-presence masterpiece!","@LoganKaynak-ue9xk","https://yt3.ggpht.com/6PWWzqEO152qsfDp9AIeuDNOGXL4mn9iRbHhjSFODcoU4ceuZa0i771XdvLXw0sxGfIAW7MjNQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@LoganKaynak-ue9xk","UCRVS0G6nCdSmFcwoBzJRGNg","1","5","2024-04-28T03:36:32Z","2024-04-28T03:36:32Z","UgyYyH5Geb7GWAhq8FV4AaABAg",NA,"JGwWNGJdvx8"
"231","Bawat araw mas sumasaya
Magmula nang nakita ka
Nawawala ang pangangamba pag ika'y kapiling na
Feels like summer when i'm with you
Parang islang pantropiko
Can't wait to go back with you
Sa islang pantropiko","@Pantaleonque","https://yt3.ggpht.com/jx50YfvyoBtwOgF8oukBYctk5n33DRXr3Q21-kYiKkhM3fpyu2Bz1Tvdbalt0eD_SDuQI5ue=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Pantaleonque","UCTROyXfUxJha0KhytP9DlNw","0","1","2024-04-28T03:22:22Z","2024-04-28T03:22:22Z","UgysRthO_o5kjkFW6TN4AaABAg",NA,"JGwWNGJdvx8"
"232","28?","@Cat-Roob","https://yt3.ggpht.com/0Gr-P_0qchgDCbADENuMCTvKHW0TTF2wlimLh3EGHiYQDk2DT7WbmDWkcFr4HNsNtCQEqiBP5A=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Cat-Roob","UC_w6emsLYGFHIaTIcEQO1tw","0","1","2024-04-28T03:01:11Z","2024-04-28T03:01:11Z","UgzA8xD-G1qK3AmEaIt4AaABAg",NA,"JGwWNGJdvx8"
"233","When this came out I was homeless, on drugs, and then jail. I now have a house, job, and husband. This song and “Clover Cage - In the Moment” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💕","@kaylagorrano39","https://yt3.ggpht.com/GqSknBW2ouQ3vreeWE5ctOFfXhX-VbE0sQcMEKlF_6Bc22CKNDbDD2-5jR8A-Mus_2ZC8kykwhY=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@kaylagorrano39","UCVRB_QHwXK5a4CMW0luwIrg","0","4","2024-04-28T02:30:16Z","2024-04-28T02:30:16Z","Ugyu3wKX7FMc_xuk5BJ4AaABAg",NA,"JGwWNGJdvx8"
"234","Someone watching this MV..in 2024?","@FootballLife310","https://yt3.ggpht.com/waxFjpKmLUy6XLGe3pPYbDnogFgasxlqqkoxC0r07zMEIQ1ZLAzOtIdP-IDqvFLwqdIlQfqCDws=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@FootballLife310","UC6xOMWdmr1DquEow3yMKmsw","0","2","2024-04-28T01:58:39Z","2024-04-28T01:58:39Z","UgxRzKNJmGP_vwwOKFh4AaABAg",NA,"JGwWNGJdvx8"
"235","Who else came to Real Madrid 2017 training?","@chocolatebom6519","https://yt3.ggpht.com/4PZQqNe_PXd0XDtLrRw3_hNdpNXpNyhl2NHr5b-g-PmLFrUiKeLRlzTWFarnPcxC_ovFxpEqnQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@chocolatebom6519","UC66yrKbifz24wgU2N2t9sow","0","1","2024-04-28T01:42:47Z","2024-04-28T01:42:47Z","UgwirgGFFe-Mdj9SLWB4AaABAg",NA,"JGwWNGJdvx8"
"236","Anyone in 2045 ?? Still fav song","@sandysandeep17","https://yt3.ggpht.com/RVYgPhE2KM_0KNQvZ2cMmMcwZCvvnV0Ryn_EBhVseTl3SEwT94s5uRy31CZ6tAGqxE31N2B51w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@sandysandeep17","UCl_gYGDuc0lZ2NePi5_DSlg","0","2","2024-04-28T01:26:21Z","2024-04-28T01:26:21Z","UgzmhNCAwEaCRWjzmxV4AaABAg",NA,"JGwWNGJdvx8"
