"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"401","The editing seems to be done in ten minutes 😂","@nobodyry","https://yt3.ggpht.com/ytc/AIdro_l3eSdJrs9xkcAFM7kExUd2KzasO2x_y1BOcwBOQFRsO4jhq02GQpbHzLNdWF64M9fNlQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@nobodyry","UC0o1KAYO11br7xeCEfHYvGg","0","0","2024-02-25T17:04:30Z","2024-02-25T17:04:30Z","Ugy8YxdCkfrJizx3VCp4AaABAg",NA,"y83x7MgzWOA"
"402","2024 attandance","@nai6gmailcom","https://yt3.ggpht.com/W0wrxHTv0SAvVSStqBHkRZBV2UBQKUJStwY99NoHtg6U1V36TRhGX3AboyFg5WyWEIzTBBUd=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@nai6gmailcom","UCKy5Uw12MwlbgcP9Dv3tc7A","0","1","2024-02-25T16:27:11Z","2024-02-25T16:27:11Z","UgyV46JpLHdLIac-BAx4AaABAg",NA,"y83x7MgzWOA"
"403","❤❤❤❤","@shankarbc7721","https://yt3.ggpht.com/i5RxHl9yTmn19vvvMqS_dfGCkwtP4Q6ZacUraNkk_nktJDHj5djR2EpOceWpFifbc9Okmss=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@shankarbc7721","UCYe2ZJpFicsluJJ7s1BNxzQ","0","0","2024-02-25T11:38:50Z","2024-02-25T11:38:50Z","UgxVXoigIPZDVdoc9uR4AaABAg",NA,"y83x7MgzWOA"
"404","it's already 2024 but still loving & enjoying this masterpiece.","@jessicasarahcuerquis","https://yt3.ggpht.com/ytc/AIdro_ldr9MvPwL_XnqBWxK8N4pKs_sUOVWY_2FO9snKepft08roYVA3DvVfn_RQxWV73nFIAw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@jessicasarahcuerquis","UChFSoOu2g2siPskszviQQCA","0","0","2024-02-25T07:47:05Z","2024-02-25T07:47:05Z","Ugxs5AbwXWjaBc7w_ZB4AaABAg",NA,"y83x7MgzWOA"
"405","Doctor 👩‍⚕️ Doctor 👩‍⚕️ Doctor 👩‍⚕️ Doctor 👩‍⚕️","@neftalyruiz2476","https://yt3.ggpht.com/ytc/AIdro_nN1llko5Nmn02CTcIHYjrLF6wbk5wGrJc5YhkA7jEsgYE=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@neftalyruiz2476","UCAyBUvntG7ypGZhG-uj3arQ","0","0","2024-02-25T01:17:46Z","2024-02-25T01:17:46Z","Ugwe0sRWSA32A8-2Jv54AaABAg",NA,"y83x7MgzWOA"
"406","😂😂funny😂😂","@DenizGumen-ky5ii","https://yt3.ggpht.com/ytc/AIdro_lq_ys0z-F8TY71iMY238mtSI7xHTtIfK5xpj_ArOwQ_Y1a86jQgSV_wej4oKrByN5fYQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@DenizGumen-ky5ii","UCzMn2673mYop7cX9EnAoK6w","0","0","2024-02-24T15:11:29Z","2024-02-24T15:11:29Z","UgwpzIIXoDNyphzGuUV4AaABAg",NA,"y83x7MgzWOA"
"407","justin knows how to make a feature look good","@blackheretic7023","https://yt3.ggpht.com/si8bdEams6uaqQzT3iBHLb4uMyt_MlR12k3vwaUhqD011NcYdWFKcNlYOPLwKMO-SnQqzG5S=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@blackheretic7023","UC7fVKct9a5KVbcXKkfGfNhQ","0","0","2024-02-24T12:59:05Z","2024-02-24T12:59:05Z","UgzbP_FH26jdrJYe_LN4AaABAg",NA,"y83x7MgzWOA"
"408","This video is soo cute
👇🏾❤️ Who's here in 2024","@matipa_darikwa","https://yt3.ggpht.com/ytc/AIdro_mNEAv5MPjwUYT_oMN-I_oKxZXRDcwTzQ5m2dLC8BLZIN_r2XL_arB8rM0NkGGWBLQJXQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@matipa_darikwa","UCf8FmiRJXMo4lsSgcW7kFBA","0","0","2024-02-24T12:53:24Z","2024-02-24T12:53:24Z","UgyN-YmhITGGprLmozt4AaABAg",NA,"y83x7MgzWOA"
"409","Low budget edit🥺🤌🏻","@sanjidahabibbonna2004","https://yt3.ggpht.com/AJG_8Zon-tpVtg0XJtZ4nNro_941k3Q9yiKjvUnbDsES26yZVMifH9_JkiGKf_dehAQDCtdpPg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@sanjidahabibbonna2004","UCRTRFAZ3e9h7ASKitu-SSCw","0","1","2024-02-24T11:21:38Z","2024-02-24T11:21:38Z","UgzO8NjBj2r4RaPVbRd4AaABAg",NA,"y83x7MgzWOA"
"410","Anybody single 😂😂😂","@riturajsaikia6985","https://yt3.ggpht.com/TE_tmttfOgHEwmFzzOHh_7Q9qgxG7lkVbGQrrX6ONcxv5n_dodPx4HbDELRhTQ5qbYLLR_ij14U=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@riturajsaikia6985","UCNMQHXfeLlOOd2Bt9d_X4Iw","0","2","2024-02-24T11:13:17Z","2024-02-24T11:13:17Z","Ugy9qXRXt_tyKhaHht14AaABAg",NA,"y83x7MgzWOA"
"411","👍","@nomertekin9394","https://yt3.ggpht.com/ytc/AIdro_kFgGxM3aDBe2sjrvElqL8HYiQIcKxyeF6QF8z_b6y2RlZHraJr0i89ffz9uvpBtF7hrQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@nomertekin9394","UCwnaz_Ug1lnLKdcJ-UZRUHw","0","0","2024-02-24T09:11:16Z","2024-02-24T09:11:16Z","Ugwu_npSlFeFpPDgAdp4AaABAg",NA,"y83x7MgzWOA"
